id,name,emoji,title,origin_period,category,affiliation,traits,signature_line,nemesis,notes,image_prompt,scene_prompt,role_level
DX001,カナカナクン,👾,和文タイプライター,〜1970s（神代）,50音のみ変換不可,混沌界,一文字ずつしか打てない、変換地獄の開祖。,濁点どこいったんや！,ゴジュエモン,一文字ずつしか打てない、変換地獄の開祖。,,,background
DX002,エイトク様,👾,IME地獄,〜1970s（神代）,文節変換の呪い,混沌界,変換候補が狂う精度の神。,何その変換、誰が選ぶねん！,ゴジュエモン,変換候補が狂う精度の神。,,,background
DX003,プリント神拳,📄,ワープロ印刷UX,〜1970s（神代）,印刷時のズレ・罫線崩壊,混沌界,印刷するたびに罫線がズレる拳法の継承者。,プレビューと違うやないか！,ゴジュエモン,印刷するたびに罫線がズレる拳法の継承者。,,,background
DX004,ハンコ大名,👾,判子文化,〜1970s（神代）,稟議書リレー,混沌界,ハンコが回らないと発動できない。,ハンコ待ちって何時代や！,ゴジュエモン,ハンコが回らないと発動できない。,,,unknown
DX005,神エクセル,👾,Excel信仰,〜1970s（神代）,セル合体、罫線崇拝,混沌界,すべての帳票をセルで囲む神。,もうファイル壊れてるでそれ！,ゴジュエモン,すべての帳票をセルで囲む神。,,,background
DX006,PDF封印獣,👾,PDF地獄,1980〜1990s（創世）,編集不可PDF,混沌界,編集させない。コピーも許さない。,なんで文字コピれへんねん！,ゴジュエモン,編集させない。コピーも許さない。,,,background
DX007,回覧板ループン,📄,紙回覧UX,1980〜1990s（創世）,謎ループする紙文化,紙様神殿,最後の人が回さないと永遠に戻ってこない。,誰が止めたんやこの板！,ゴジュエモン,最後の人が回さないと永遠に戻ってこない。,,,background
DX008,FAX地獄先生,📄,FAX文化,1980〜1990s（創世）,紙ベースのFAX送信,紙様神殿,どこでも紙を要求してくる地獄教師。,なんでまだFAXやねん！,ゴジュエモン,どこでも紙を要求してくる地獄教師。,,,support
DX009,フォーム女子テキ子,👾,Webフォーム,1980〜1990s（創世）,強制フォーマット文化,混沌界,自由入力を許さない構造美少女。,全角カナ限定とか地獄すぎや！,ゴジュエモン,自由入力を許さない構造美少女。,,,main
DX010,いらすとやま,👾,素材氾濫,1980〜1990s（創世）,公的資料のビジュアル崩壊,混沌界,すべての掲示物に貼られてしまう汎用素材神。,この画風しかないんか！,ゴジュエモン,すべての掲示物に貼られてしまう汎用素材神。,,,support
DX011,FAQスパイラル,👾,自己完結ヘルプ,1980〜1990s（創世）,解決に至らないFAQリンクの無限ループ,混沌界,ユーザーを永遠に彷徨わせるヘルプ迷宮。,結局どうすんねんコレ！？,ゴジュエモン,ユーザーを永遠に彷徨わせるヘルプ迷宮。,,,background
DX012,LINE召喚士,🌀,非同期文化,1980〜1990s（創世）,業務連絡がLINEで飛ぶカジュアル混乱,LINE帝国,業務かプライベートか区別を曖昧にする召喚士。,通知で心臓止まるやろが！,ゴジュエモン,業務かプライベートか区別を曖昧にする召喚士。,,,support
DX013,セツコたん,🧾,制度キャラ,1980〜1990s（創世）,制度系ゆるキャラ,混沌界,平成〜令和の制度広報に現れた悲しきマスコット。,責任は全部こっち持ちやないか！,ゴジュエモン,平成〜令和の制度広報に現れた悲しきマスコット。,,,main
DX014,セント坊,🧾,癒し系ゆるキャラ,1980〜1990s（創世）,癒しと制度の中間,混沌界,現代社会の疲れを受け止める護法童子。,癒しすぎて涙出るわ…,ゴジュエモン,現代社会の疲れを受け止める護法童子。,,,main
DX015,クーポン地獄大先生,👾,行政UX,1980〜1990s（創世）,配布と利用の手続き地獄,混沌界,一見得に見えて手続きで疲弊させる地獄講師。,使う前に体力なくなるわ！,ゴジュエモン,一見得に見えて手続きで疲弊させる地獄講師。,,,support
DX016,いたずらPayノ介,👾,決済UX,1990〜2010s（中世）,乱立する決済アプリ,混沌界,チャラく近づき複雑な決済手順を仕掛けるトリックスター。,どのアプリ使うんや結局！,ゴジュエモン,チャラく近づき複雑な決済手順を仕掛けるトリックスター。,,,support
DX017,クラウド迷子ちゃん,👾,クラウドUI,1990〜2010s（中世）,どこに何があるか分からない,混沌界,クラウドに放り込んだはずのファイルが二度と見つからない。,迷子なる構造やめてや！,ゴジュエモン,クラウドに放り込んだはずのファイルが二度と見つからない。,,,support
DX018,ソンタクン,👾,空気文化,1990〜2010s（中世）,忖度によるUI非表示,混沌界,すべてを察して表示しない設定にしてくる。,それ表示せんと誰も気づかんて！,ゴジュエモン,すべてを察して表示しない設定にしてくる。,,,unknown
DX019,PDF太郎,👾,PDF依存,1990〜2010s（中世）,すべてをPDFで出力する構造,混沌界,ファイルを固定化して変化を許さない頑固者。,誰が印刷して配るねん今どき！,ゴジュエモン,ファイルを固定化して変化を許さない頑固者。,,,main
DX020,エクセリウム,👾,Excel文化,1990〜2010s（中世）,迷宮のようなマクロ地獄,混沌界,すべての形式に縛られし魔界の守護者。,その形式、誰が解読すんねん！,ゴジュエモン,すべての形式に縛られし魔界の守護者。,,,unknown
DX021,クラウド様,☁️,ITインフラ,1990〜2010s（中世）,クラウド信仰と過剰セキュリティ,クラウド領域,常に雲の上から見てるが、ログインは通さない。,地上に降りてこいや！,ゴジュエモン,常に雲の上から見てるが、ログインは通さない。,,,sub
DX022,紙様,📄,紙文化,1990〜2010s（中世）,紙信仰と非デジタル主義,紙様神殿,紙での保管に安らぎを覚える古代神。,まだ紙が主役なんかい！,ゴジュエモン,紙での保管に安らぎを覚える古代神。,,,sub
DX023,プリン詰魔（プリンツマ）,📄,ハードウェアUX,1990〜2010s（中世）,プリンタ紙詰まり,紙様神殿,出力のたびに紙を詰まらせ業務を停止させる魔物。,なんで詰まるねん毎回！,ゴジュエモン,出力のたびに紙を詰まらせ業務を停止させる魔物。,,,sub
DX024,ユースビーちゃん,👾,物理インターフェース,1990〜2010s（中世）,USB裏表問題,混沌界,3回目じゃないと刺さらない妖精。,なんで3回目で成功すんねん！,ゴジュエモン,3回目じゃないと刺さらない妖精。,,,support
DX025,MDくん,👾,懐古メディア,1990〜2010s（中世）,過去メディアの未練,混沌界,再生機器が無いのに捨てられない音の精霊。,聞けへんのに取っとくんかい！,ゴジュエモン,再生機器が無いのに捨てられない音の精霊。,,,support
DX026,ザイハツオーン,👾,制度UX,1990〜2010s（中世）,財発の判子地獄,混沌界,予算が発動するまで何週間も寝かされる伝説の封印者。,いつ使えるようになるんや予算！,ゴジュエモン,予算が発動するまで何週間も寝かされる伝説の封印者。,,,support
DX027,カキトメガミ,👾,郵送文化,1990〜2010s（中世）,書留信仰,混沌界,紙に記録されないと不安になる守護女神。,電子でええやろもう！,ゴジュエモン,紙に記録されないと不安になる守護女神。,,,support
DX028,プロンプトンザウルス,👾,AI導入UX,1990〜2010s（中世）,意味不明な指示プロンプト,混沌界,旧石器時代のUX手順でAIを動かそうとする恐竜。,その指示、誰が読めんねん！,ゴジュエモン,旧石器時代のUX手順でAIを動かそうとする恐竜。,,,sub
DX029,KYーン様,👾,空気文化,1990〜2010s（中世）,空気読み強要,混沌界,空気を読みすぎて逆に言えない神。,言うてくれんと分からんわ！,ゴジュエモン,空気を読みすぎて逆に言えない神。,,,main
DX030,ドモモ,🧏,敬語UX,1990〜2010s（中世）,過剰敬語文化,混沌界,敬語の過剰進化で呪文のようになる怪人。,何回まわりくどくなるねん！,ゴジュエモン,敬語の過剰進化で呪文のようになる怪人。,,,main
DX031,ギャラクシ腐子,👾,平成文化,2010〜（混沌・転変・令和）,腐女子文化とガラケー文化の交差,混沌界,感情過多と通信制限の狭間に生きる悲しき戦士。,課金できないと泣くんかい！,ゴジュエモン,感情過多と通信制限の狭間に生きる悲しき戦士。,,,sub
DX032,ハンコ大明神,📄,制度神,2010〜（混沌・転変・令和）,印鑑信仰,紙様神殿,すべての承認に朱肉を求める神格存在。,ハンコ押しに出社すな！,ゴジュエモン,すべての承認に朱肉を求める神格存在。,,,sub
DX033,エアAI,☁️,AI労働,2010〜（混沌・転変・令和）,空気読みAI,混沌界,導入後1年で空気を読みすぎて病んだAI。,お前まで気ぃ遣うなや！,ゴジュエモン,導入後1年で空気を読みすぎて病んだAI。,,,main
DX034,マクロ族,👾,Excel文化,2010〜（混沌・転変・令和）,マクロ依存,混沌界,消すと崩壊するが誰も中身を理解していない。,動いてるのが奇跡やろそれ！,ゴジュエモン,消すと崩壊するが誰も中身を理解していない。,,,sub
