,品　　　名,分別区分,備　　　考
,,,小型家電回収ボックス（30cm×15cm）の投入口に入るもの
,,拠点回収,
,,,小型家電回収ボックスの詳細はこちら
,ＩＨクッキングヒーター,,
,,燃やせないごみ,指定袋に入らないものは[粗大ごみ]
,アイスの棒・スプーン・カップ（木製・紙製）,燃やせるごみ,紙製のカップは「リサイクル広場」に無料で持込めます
,アイスの棒・スプーン・カップ（プラスチック製）,燃やせるごみ,
,アイスノン,燃やせるごみ,
,アイスボックス,燃やせないごみ,指定袋に入らないものは[粗大ごみ]
,,,小型家電回収ボックス（30cm×15cm）の投入口に入るもの
,,拠点回収,
,,,小型家電回収ボックスの詳細はこちら
,アイロン,,
,,燃やせないごみ,
,アイロン台,燃やせないごみ,指定袋に入らないものは[粗大ごみ]
,アコーディオン,燃やせないごみ,
,アコーディオンカーテン,粗大ごみ,
,アコーディオンドア,粗大ごみ,
,アタッシュケース,燃やせないごみ,
,,,小型家電回収ボックス（30cm×15cm）の投入口に入るもの
,,拠点回収,
,,,小型家電回収ボックスの詳細はこちら
,アダプター,,
,,燃やせないごみ,
あ,,,
,厚紙,古紙・古着,
,,,布や紙にしみこませるか凝固剤で固化してください
,油  （ガソリンなど引火性のあるものを除く）,燃やせるごみ,
,,,食用油は「リサイクル広場」に無料で持込めます
,油のボトル（プラスチック製）,燃やせるごみ,
,油のびん・缶,ビン・カン,農薬、薬品等のカンは除く
,編み機,粗大ごみ,
,網戸,粗大ごみ,
,雨ガッパ,燃やせるごみ,
,アルバム,燃やせるごみ,
,アルミパイプ洋服かけ,粗大ごみ,
,アルミ箔（アルミホイル）,燃やせるごみ,グラタン容器などの厚手のものは[燃やせないごみ]
,安全靴,燃やせないごみ,
,安全ピン,燃やせないごみ,「リサイクル広場」に無料で持込めます
,,,指定袋に入る大きさのものは、「リサイクル広場」に無料で持込め
,アンテナ（室内用・ＢＳ用）,燃やせないごみ,ます
,,,指定袋に入らないものは[粗大ごみ]
,,,小型家電回収ボックス（30cm×15cm）の投入口に入るもの
,,拠点回収,
,,,小型家電回収ボックスの詳細はこちら
,アンプ,,
,,燃やせないごみ,指定袋に入らない、または10㎏を超えるものは[粗大ごみ]
,石（砂利、砂、土）,燃やせないごみ,1回に5Ｌの指定袋で1袋まで　持込みは1日30kgまで
,,,防水加工などがほどこされているものは[燃やせるごみ]
,衣装箱（ダンボール製）,古紙・古着,
,,,開いて、ひもで結んでください
,衣装箱（金属・プラスチック製）,燃やせないごみ,指定袋に入らない、または10㎏を超えるものは[粗大ごみ]
,椅子（木製）,粗大ごみ,指定袋に入る大きさのものは[燃やせるごみ]
,椅子（金属・プラスチック製）,粗大ごみ,指定袋に入る大きさのものは[燃やせないごみ]
い,,,
,板 板,燃やせるごみ,指定袋に入らないものは[粗大ごみ]
,ガラス,燃やせないごみ,指定袋に入らないものは[粗大ごみ]
,一輪車（スポーツ用）,粗大ごみ,指定袋に入る大きさのものは[燃やせないごみ]
,一斗缶,ビン・カン,家庭で使用したもののみ
,医薬品（錠剤・顆粒）,燃やせるごみ,
,医薬品の容器（プラスチック製）,燃やせるごみ,
