"","品　　　名","分別区分","備　　　考",""
"","シャープペンシル","燃やせないごみ","",""
"","シャープペンシルの芯ケース（プラスチック製）","燃やせないごみ","",""
"","写真","燃やせるごみ","",""
"","ジャッキ","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます",""
"","シャベル","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます",""
"","シャンプーの詰替え容器","燃やせるごみ","",""
"","シャンプーの容器","燃やせないごみ","",""
"","シャンプーハット","燃やせるごみ","",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの",""
"","","拠点回収","",""
"","","","小型家電回収ボックスの詳細はこちら",""
"","ジューサー","","",""
"","","燃やせないごみ","",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの",""
"","","拠点回収","",""
"","","","小型家電回収ボックスの詳細はこちら",""
"","ジューサー（充電式）","","",""
"","","有害ごみ","",""
"","修正液の容器（プラスチック製）","燃やせないごみ","",""
"","ジュータン","粗大ごみ","60㎝以下に切れば[燃やせるごみ]",""
"","","","ビニールテープで絶縁して、リサイクルマークがあるものは",""
"","充電式電池","有害ごみ","回収協力店へ持込み、またはマークありなし共に［有害ごみ］",""
"","","","回収協力店は一般社団法人JBRCのホームページで確認できます",""
"","朱肉","燃やせないごみ","",""
"","シュレッダーにかけた紙","古紙・古着","",""
"","消火器","収集しません","販売店等に処理を依頼してください",""
"","","","","消火器の出し方/町田市HP"
"","","","中身は使い切ってください",""
"","","","[燃やせないごみ]には出さないでください",""
"","消火器（スプレー式）","ビン・カン","",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・",""
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は［有害ごみ］",""
"","将棋盤・駒（木製）","燃やせるごみ","",""
"し","","","",""
"","将棋の駒（プラスチック製）","燃やせないごみ","",""
"","じょうご","燃やせないごみ","",""
"","浄水器（カートリッジも含む）","燃やせないごみ","",""
"","","","蛍光管・蛍光球は[有害ごみ]",""
"","照明器具","燃やせないごみ","",""
"","","","指定袋に入らないものは[粗大ごみ]",""
"","乗用玩具","燃やせないごみ","",""
"","じょうろ","燃やせないごみ","",""
"","食品包装（プラスチック製）","燃やせるごみ","",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの",""
"","","拠点回収","",""
"","","","小型家電回収ボックスの詳細はこちら",""
"","除湿機","","",""
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]",""
"","","","販売店等に処理を依頼してください",""
"","除草剤","収集しません","",""
"","","","不明な場合は、循環型施設管理課へお問い合わせください",""
"","除草剤の容器（ビン・プラスチック製）","燃やせないごみ","中身は使い切ってください",""
"","","","紙・木製は[燃やせるごみ]",""
"","食器","燃やせないごみ","",""
"","","","陶磁器、ガラス製のものは「リサイクル広場」に無料で持込めます",""
"","食器乾燥機","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]",""
"","","","布や紙にしみこませるか凝固剤で固化してください",""
"","食用油","燃やせるごみ","",""
"","","","「リサイクル広場」に無料で持込めます",""
"","白髪染め（プラスチックチューブ）","燃やせるごみ","",""
"","","","中身は使い切ってください",""
"","","","[燃やせないごみ]には出さないでください",""
"","白髪染め（スプレー缶）","ビン・カン","",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・",""
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は［有害ごみ］",""
"","シルバークリーナーの容器（プラスチック製）","燃やせないごみ","",""
"","人工芝","燃やせないごみ","指定袋に入らないものは[粗大ごみ]",""
"","新聞紙","古紙・古着","",""
"","水泳用ゴーグル・水中メガネ","燃やせないごみ","",""
"す","","","",""
"","水槽","燃やせないごみ","指定袋に入らないものは[粗大ごみ]",""
