"","品　　　名","分別区分","備　　　考"
"","水筒","燃やせないごみ",""
"","炊飯器","燃やせないごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","スーツ","古紙・古着",""
"","","","汚れているものや名前入りのものは[燃やせるごみ]"
"","スーツケース（旅行用）","粗大ごみ","指定袋に入るも大きさのものは[燃やせないごみ]"
"","スーパーの袋（レジ袋）","燃やせるごみ",""
"","","","40Lの指定袋に入れてください。ただし、直径15㎝、"
"","スキー板・ストック","燃やせないごみ",""
"","","","長さ140㎝を超えるものは[粗大ごみ]"
"","スキー靴・スケート靴","燃やせないごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","スキーウェア（上着）","古紙・古着",""
"","","","汚れているもの、ズボンやつなぎは[燃やせるごみ]"
"","スケートボード","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","","","金属を外せれば[古紙・古着]"
"","スケッチブック","燃やせるごみ",""
"","","","金属は[燃やせないごみ]"
"","","","40Lの指定袋に入れてください"
"","スコップ（長いもの）","燃やせないごみ",""
"","","","金属製のものは「リサイクル広場」に無料で持込めます"
"","硯（すずり）","燃やせないごみ",""
"","","","40Lの指定袋に入れてください。ただし、直径15㎝、"
"","スダレ","燃やせないごみ","長さ140㎝を超えるものは［粗大ごみ］"
"","","","木製で指定袋に入るものは[燃やせるごみ]"
"","スティックのりのケース（プラスチック製）","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ステレオ","",""
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","","","石油、電池は抜いてください"
"","ストーブ（ガス・石油・電気）","燃やせないごみ",""
"","","","電池は[有害ごみ]、指定袋に入らないものは[粗大ごみ]"
"す","","",""
"","ストッキング","燃やせるごみ","[古紙・古着]には出さないでください"
"","ストッキングの外包装","燃やせるごみ",""
"","ストマ（ストーマ）","燃やせるごみ","無料のおむつ専用袋を利用できます"
"","ストロー","燃やせるごみ",""
"","ストローの外袋（プラスチック製）","燃やせるごみ",""
"","砂（砂利、石、土）","燃やせないごみ","1回に5Lの指定袋で1袋まで　持込みは1日30kgまで"
"","スニーカー","燃やせるごみ",""
"","スノーボード","粗大ごみ",""
"","スノコ（木製）","燃やせるごみ","指定袋に入らないものは[粗大ごみ]"
"","スノコ（プラスチック製）","燃やせないごみ",""
"","スピーカー","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","スピーカー（充電式）","",""
"","","有害ごみ",""
"","","","中身は使い切ってください"
"","","","[燃やせないごみ]には出さないでください"
"","スプレー缶","ビン・カン",""
"","","","特別指定団体（小山田桜台・公社森野住宅・シーアイハイツ・"
"","","","都営武蔵岡住宅・玉川学園と東玉川学園の一部）は［有害ごみ］"
"","スプレー缶のキャップ （プラスチック製）","燃やせるごみ",""
"","スポンジ","燃やせるごみ",""
"","ズボンプレス機","粗大ごみ",""
"","炭 ス","燃やせるごみ",""
"","リッパ・ぞうり","燃やせるごみ",""
"","制汗剤の包装フィルム","燃やせるごみ",""
"","整髪料の容器（プラスチック製）","燃やせないごみ",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"せ","制服（ユニホーム）","古紙・古着",""
"","","","名前や会社名が入っているもの、汚れているものは[燃やせるごみ]"
"","整理ダンス","粗大ごみ",""
"","生理用品","燃やせるごみ",""
