"","品　　　名","分別区分","備　　　考
在宅医療廃棄物の出し方"
"","注射筒（在宅医療用インスリン注入器など）","燃やせないごみ","注射針は必ず取り外してください
在宅医療廃棄物の出し方"
"","チューブ（プラスチック製、 ラミネート等）","燃やせるごみ",""
"","チューブ（上記以外のもの）","燃やせないごみ",""
"","調味料の容器（びん・缶）","ビン・カン","中をゆすいでから出してください"
"ち","","",""
"","調味料の容器（プラスチック製）","燃やせないごみ",""
"","チラシ（折り込みチラシ）","古紙・古着",""
"","ちりとり","燃やせないごみ",""
"","チルドカップ","燃やせないごみ",""
"","使い捨てカイロ","燃やせるごみ",""
"","机","粗大ごみ",""
"","","","1回に5Lの指定袋で1袋に入るものは[燃やせないごみ]"
"","漬け物石","粗大ごみ",""
"","","","粗大ごみの収集・持込みは１日３０㎏まで"
"","土（砂、砂利、石）","燃やせないごみ","1回に5Lの指定袋で1袋まで　持込みは1日30kgまで"
"つ","","",""
"","突っ張り棒","燃やせないごみ","40Lの指定袋に入れてください"
"","つみき（木製）","燃やせるごみ",""
"","つみき（プラスチック製）","燃やせないごみ",""
"","","","長さ140cm、直径15cm以下の場合は[燃やせないごみ]"
"","釣竿","粗大ごみ",""
"","","","40Lの指定袋で出してください"
"","ティーバッグ","燃やせるごみ",""
"","ティーバッグの包み（紙製）","古紙・古着",""
"","ティーバッグの包み （プラスチック製）","燃やせるごみ","銀色の袋も含む"
"","","","資源有効利用促進法対象品"
"","ディスプレイ（パソコン用）","収集しません","メーカーに処理を依頼してください
パソコンの出し方/町田市HP"
"","","","宅配回収サービスがあります"
"","ティッシュペーパーの箱","古紙・古着","外したプラスチックの窓は[燃やせるごみ]"
"","ティッシュペーパー（ポケットティッシュ）の包装","燃やせるごみ",""
"","テーブル","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","デジタルカメラ","",""
"","","燃やせないごみ","電池は抜いてください。電池は［ 有害ごみ］"
"","","","単体で指定袋に入れてください"
"","","","他の燃やせないごみと袋を分けて出してください"
"","鉄アレイ","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","","","10㎏を超えるものは［粗大ごみ］"
"","デッキブラシ","燃やせないごみ","40Lの指定袋に入れてください"
"","テニスラケット","燃やせないごみ","40Lの指定袋に入れてください"
"","手ぬぐい","古紙・古着",""
"て","","",""
"","","","雨の日や雨の降りそうな日は出さないでください"
"","手袋（布製・革製）","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","ＤＶＤ（ハードケース含む）","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","ＤＶＤプレーヤー","",""
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","","","家電リサイクル法対象品"
"","テレビ","収集しません",""
"","","","販売店等に処理を依頼してください"
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","テレビゲーム機（本体・ソフト・アダプター）","",""
"","","燃やせないごみ","電池は抜いてください。電池は［ 有害ごみ ］"
"","テレビ台","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","テレホンカード","燃やせるごみ",""
"","電気カーペット","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","電気釜（炊飯器）","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","電気コンロ","",""
"","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
