"","品　　　名","分別区分","備　　　考
小型家電回収ボックスの詳細はこちら"
"","","","40Lの指定袋に入れてください"
"","バット（野球用）","燃やせないごみ",""
"","","","金属製のものは「リサイクル広場」に無料で持ち込めます"
"","バット（料理用）","燃やせないごみ",""
"","","","折る、切るなど小さくして指定袋に入れてください"
"","1～12番地区","燃やせるごみ",""
"","","","指定袋に入らないものは[粗大ごみ]"
"","発泡スチロール（包装材）","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","1～12番地区","燃やせるごみ",""
"","発泡スチロールネット（りんごなど","",""
"","の商品を包んでいたもの）","",""
"","13番（小山ヶ丘）地区","燃やせないごみ",""
"","","","拠点回収の詳細はこちら"
"","発泡トレイ","拠点回収",""
"","","","拠点によっては白色のみの回収になります。"
"","バドミントンラケット","燃やせないごみ","40Lの指定袋に入れてください"
"","バドミントンのシャトル","燃やせるごみ",""
"","花","燃やせるごみ","45Lまでの透明・半透明の袋で1回に最大90リットル相当まで"
"","花火・発煙筒","燃やせるごみ","水でしめらせてください"
"","歯ブラシ","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収",""
"","","","小型家電回収ボックスの詳細はこちら"
"","歯ブラシ（電動式）","",""
"は","","",""
"","","有害ごみ",""
"","歯磨き粉のチューブ（プラスチック製）","燃やせるごみ",""
"","歯磨き粉のチューブ（金属製）","燃やせないごみ",""
"","","","ガムテープで包んでください"
"","針・針金","燃やせないごみ",""
"","","","「リサイクル広場」に無料で持込めます"
"","ハンガー","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","","","雨の日や雨の降りそうな日は出さないでください"
"","ハンカチ","古紙・古着",""
"","","","汚れているものは[燃やせるごみ]"
"","半紙","古紙・古着","使用済みのものも可"
"","ハンドソープの容器（プラスチック製）","燃やせないごみ",""
"","パンの袋","燃やせるごみ",""
"","パンの袋の留め具","燃やせるごみ","「リサイクル広場」に無料で持込めます"
"","パンばさみ","燃やせないごみ","金属製のものは「リサイクル広場」に無料で持込めます"
"","パンフレット類","古紙・古着",""
"","","","金属製で大きなものは単体で指定袋に入れてください"
"","ハンマー","燃やせないごみ","他の燃やせないごみと袋を分けて出してください"
"","","","「リサイクル広場」に無料で持込めます"
"","ピアニカ（楽器）","燃やせないごみ",""
"","ピアノ","収集しません","販売店等に処理を依頼してください"
"","ヒーター","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","ひげそり","燃やせないごみ",""
"","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","拠点回収","電池は抜いてください。電池は[有害ごみ]"
"","ビデオカメラ・ビデオデッキ","","小型家電回収ボックスの詳細はこちら"
"","","燃やせないごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","","","ビニールテープで絶縁して、リサイクルマークがあるものは"
"","ビデオカメラのバッテリー","有害ごみ","回収協力店へ持込み、またはマークありなし共に［有害ごみ］"
"ひ","","","回収協力店一般社団法人JBRCのホームページで確認できます"
"","ビデオテープ（ケース）","燃やせないごみ","ビデオテープは「リサイクル広場」に無料で持込めます"
"","ビニール袋","燃やせるごみ",""
"","火鉢","燃やせないごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","百科事典","古紙・古着",""
"","漂白剤の容器","燃やせないごみ",""
"","肥料","燃やせるごみ",""
"","肥料袋（プラスチック製）","燃やせるごみ",""
"","ビン","ビン・カン","中をゆすいで、ふたを外してください"
