"","品　　　名","","分別区分","備　　　考"
"","","","","ビニールテープで絶縁して［有害ごみ］"
"","ボタン型電池","","有害ごみ","または回収協力店に設置されたボタン型電池回収缶へ、回収協力店"
"","","","","は一般社団法人電池工業会のホームページで確認できます"
"","ホチキス（針のみも）","","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","ポット","","燃やせないごみ",""
"","ホットカーペット","","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","ホットプレート","","",""
"","","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"","ボディーボード","","粗大ごみ",""
"ほ","","","",""
"","ほ乳瓶","","燃やせないごみ",""
"","ポリタンク","","燃やせないごみ","中身は使い切って、指定袋に入らないものは[粗大ごみ]"
"","保冷剤（袋タイプ）","","燃やせるごみ",""
"","保冷剤（プラスチック容器タイプ）","","燃やせないごみ",""
"","保冷バッグ","","燃やせるごみ",""
"","ホワイトボード","","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","本（雑誌・文庫本・教科書・辞書など）","","古紙・古着","個人情報の取り扱いに注意してください"
"","本棚","","粗大ごみ",""
"","マーガリンの容器 （プラスチック製）","","燃やせるごみ",""
"","麻雀パイ","","燃やせないごみ",""
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","マイクロホン","","",""
"","","","燃やせないごみ",""
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","電池は抜いて［有害ごみ］
小型家電回収ボックスの詳細はこちら"
"","マウス（パソコン用）","","",""
"","","","燃やせないごみ",""
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","マウス（充電式）","","",""
"","","","有害ごみ",""
"","巻尺（メジャー）","","燃やせないごみ",""
"","マグネットシート","","燃やせないごみ",""
"","","","","[古紙・古着]には出さないでください"
"","","","","マイクロビース製のものは飛散防止のためレジ袋等に入れてから"
"","まくら","","燃やせるごみ",""
"","","","","指定袋に入れてください"
"","","","","指定袋に入らないものは[粗大ごみ]"
"","枕木","","燃やせるごみ","指定袋に入らない、または10㎏を超えるものは[粗大ごみ]"
"","","","","雨の日や雨の降りそうな日は出さないでください"
"","まくらカバー","","古紙・古着",""
"","","","","汚れているものは[燃やせるごみ]"
"ま","","","",""
"","マジックペン","","燃やせないごみ",""
"","マッサージ機","","粗大ごみ","指定袋に入る大きさのものは[燃やせないごみ]"
"","マットレス","","粗大ごみ","切って指定袋に入るものは[燃やせるごみ]"
"","","","","プラスチック窓は、はがしてください"
"","窓付き封筒","","古紙・古着",""
"","","","","プラスチック窓は[燃やせるごみ]"
"","まな板（木製）","","燃やせるごみ",""
"","まな板（木製以外）","","燃やせないごみ",""
"","マニキュアのケース（プラスチック製）","","燃やせないごみ",""
"","","","","指定袋に入らないものは[粗大ごみ]"
"","マネキン","","燃やせないごみ",""
"","","","","事業者は出せません"
"","豆電球","","燃やせないごみ",""
"","マヨネーズの容器（プラスチック製）","","燃やせるごみ",""
"","丸太・角材（直径10cm以下）","","燃やせるごみ","指定袋に入るもの"
"","","1～12番地区","",""
"","丸太・角材（直径10cm超～","","","直径15cm、長さ140cm以内に切って、"
"","","","燃やせないごみ",""
"","15cm）","","","40Lの指定袋に入れてください"
"","","","","指定袋に入るもの"
"","","","","袋からはみ出す場合は[燃やせないごみ]"
"","丸太・角材（直径15cm以下）","13番（小山ヶ丘）地区","燃やせるごみ",""
"","","","","袋からはみ出す場合は、[燃やせないごみ]として直径15cm、"
"","","","","長さ140cm以内に切って、40Lの指定袋に入れて出してください"
"","マッチ","","燃やせるごみ","水にしめらせてください"
