"","品　　　名","","分別区分","備　　　考"
"","","","","雨の日や雨の降りそうな日は出さないでください"
"","衣類（肌着・下着も含む）","","古紙・古着","名前や社名入りの制服、スキーウェア（ズボン、つなぎのもの）、"
"","","","","汚れているものなどは[燃やせるごみ]"
"","","","","家電リサイクル法対象品"
"","衣類乾燥機","","収集しません",""
"","","","","販売店等に処理を依頼してください"
"い","印鑑","","燃やせないごみ","木製は[燃やせるごみ]"
"","印鑑ケース","","燃やせないごみ",""
"","インク","","燃やせるごみ","布や紙にしみこませてください"
"","インスタント食品の容器（プラスチックの袋・容器）","","燃やせるごみ","銀色の袋も含む"
"","インスタント食品の容器（アルミの容器）","","燃やせないごみ","アルミ箔（ホイル）、冷凍食品などの銀色の袋は[燃やせるごみ]"
"","ウイッグ（マネキン首付）","","燃やせないごみ","事業系の場合は市では収集しません"
"","植木・刈り込み枝（剪定くず）","","燃やせるごみ","45Ｌまでの透明・半透明の袋で1回に最大90Ｌ相当まで"
"","","","","土を取り除いてください"
"","植木鉢","","燃やせないごみ",""
"","","","","陶磁器製のものは「リサイクル広場」に無料で持込めます"
"","植木のポット（やわらかいもの）","","燃やせるごみ",""
"","","1～12番地区","燃やせるごみ",""
"","ウェットスーツ","","",""
"","","13番（小山ヶ丘）地区","燃やせないごみ",""
"","ウェットティッシュ","","燃やせるごみ",""
"","ウェットティッシュのプラスチック容器","","燃やせないごみ","ポケットタイプは[燃やせるごみ]"
"","ウォーターサーバーの交換ボトル","","",""
"","","","ペットボトル",""
"","（ペットボトルマークがあるもの）","","",""
"","ウォシュレット（温水洗浄便座）","","燃やせないごみ","指定袋に入らないものは[粗大ごみ]"
"う","浮き輪（浮き袋）","","燃やせるごみ",""
"","うちわ","","燃やせるごみ",""
"","","","","解体してください"
"","ウッドデッキ","","粗大ごみ",""
"","","","","木材は長さ1m50cm、直径15cm以内にしてください"
"","","","","電池式で小型家電回収ボックス（30cm×15cm）の投入口に入る"
"","","","拠点回収","もの"
"","腕時計","","","小型家電回収ボックスの詳細はこちら"
"","","","燃やせないごみ","電池は抜いてください。電池は[有害ごみ]"
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","腕時計（充電式）","","",""
"","","","有害ごみ",""
"","腕輪（ブレスレット）","","燃やせないごみ",""
"","羽毛ふとん","","粗大ごみ","1日に10枚まで"
"","梅酒を漬けるびん","","燃やせないごみ","「リサイクル広場」に無料で持込めます"
"","","","","家電リサイクル法対象品"
"","エアコン","","収集しません",""
"","","","","販売店等に処理を依頼してください"
"","枝（アセビ、ウルシ、カクレミノ、キョウチクトウ、ユズ","","",""
"","","","","長さ６０ｃｍ、１束の直径３０ｃｍ以内に束ねて剪定枝の収集日に"
"","リハ等の毒のある樹木や、シュロ、ソテツ、竹、笹、シ","","",""
"","","","剪定枝","資源集積所に出してください"
"","ノ、ユーカリ等たい肥に適さない樹木は［燃やせるごみ］","","",""
"","","","","枝１本の太さは１０ｃｍまでです"
"","の日に）","","",""
"","絵の具のチューブ","","燃やせるごみ","金属製のチューブは[燃やせないごみ]"
"","ＭＤ・ＭＯディスク（ケース含む）","","燃やせないごみ",""
"","ＭＤ・ＭＯディスクの包装フィルム","","燃やせるごみ",""
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","ＭＤプレーヤー","","",""
"","","","燃やせないごみ",""
"え","","","",""
"","ＬＥＤ電球・ＬＥＤ蛍光管","","燃やせないごみ",""
"","エレクトーン","","粗大ごみ",""
"","エンジンオイル","","収集しません","販売店等に処理を依頼してください"
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","延長コード（ドラムコード）","","",""
"","","","燃やせないごみ",""
"","えんぴつ","","燃やせるごみ",""
"","えんぴつ削り器（手動式）","","燃やせないごみ",""
"","","","","小型家電回収ボックス（30cm×15cm）の投入口に入るもの"
"","","","拠点回収",""
"","","","","小型家電回収ボックスの詳細はこちら"
"","えんぴつ削り器（電動式）","","",""
"","","","燃やせないごみ",""
