五十音順,品　　　名,分別区分,カテゴリ行
,ＩＨクッキングヒーター,燃やせないごみ,拠点回収
,アイスの棒・スプーン・カップ（木製・紙製）,燃やせるごみ,
,アイスの棒・スプーン・カップ（プラスチック製）,燃やせるごみ,
あ,アイスノン,燃やせるごみ,
,アイスボックス,燃やせないごみ,
,アイロン,燃やせないごみ,拠点回収
,アイロン台,燃やせないごみ,
,アコーディオン,燃やせないごみ,
,アコーディオンカーテン,粗大ごみ,
,アコーディオンドア,粗大ごみ,
,アタッシュケース,燃やせないごみ,
,アダプター,燃やせないごみ,拠点回収
,厚紙,古紙・古着,
,油  （ガソリンなど引火性のあるものを除く）,燃やせるごみ,
,油のボトル（プラスチック製）,燃やせるごみ,
,油のびん・缶,ビン・カン,
,編み機,粗大ごみ,
,網戸,粗大ごみ,
,雨ガッパ,燃やせるごみ,
,アルバム,燃やせるごみ,
,アルミパイプ洋服かけ,粗大ごみ,
,アルミ箔（アルミホイル）,燃やせるごみ,
,安全靴,燃やせないごみ,
,安全ピン,燃やせないごみ,
,アンテナ（室内用・ＢＳ用）,燃やせないごみ,
,アンプ,燃やせないごみ,拠点回収
い,石（砂利、砂、土）,燃やせないごみ,
,衣装箱（ダンボール製）,古紙・古着,
,衣装箱（金属・プラスチック製）,燃やせないごみ,
,椅子（木製）,粗大ごみ,
,椅子（金属・プラスチック製）,粗大ごみ,
,板,燃やせるごみ,
,板ガラス,燃やせないごみ,
,一輪車（スポーツ用）,粗大ごみ,
,一斗缶,ビン・カン,
,医薬品（錠剤・顆粒）,燃やせるごみ,
,医薬品の容器（プラスチック製）,燃やせるごみ,
