id,name,name_en,deity,deity_en,type,type_en,category,category_en,founded,river_area,river_area_en,note_summary,note_summary_en,ref_url,img-src,lat,lng
1,荏原神社,Ebara Shrine,"""豊受姫之神,天照皇大神,須佐男之尊,高?神,手力雄之尊""","""Toyouke-hime-no-kami, Amaterasu-Omikami, Susanoo-no-Mikoto, Takitsuhiko-no-kami, Tajikarao-no-Mikoto""",神社,Shinto Shrine,"""天王社,天神,貴船""","""Tenno Shrine, Tenjin Shrine, Kifune Shrine""",709,目黒川,Meguro River,南品川の鎮守として崇拝され、現在地に遷座。,"Originally revered as the guardian of Minami-Shinagawa, relocated to its current site.",http://ebarajinja.org/top.html,FALSE,35.617186,139.74324
2,品川神社,Shinagawa Shrine,"""天比理乃咩命,素盞嗚尊,宇賀之売命""","""Ame-no-Hirime-no-Mikoto, Susanoo-no-Mikoto, Uka-no-Mitama-no-Mikoto""",神社,Shinto Shrine,"""東京十社,東海七福神,大黒天""","""Tokyo Ten Shrines, Tokai Seven Lucky Gods, Daikokuten""",1187,目黒川,Meguro River,千葉県の洲崎神社から天比理乃咩命を勧請し品川大明神として祀る,"Enshrines Ame-no-Hirime-no-Mikoto from Suzaki Shrine in Chiba, as Shinagawa Daimy?jin.",https://shinagawajinja.tokyo/,FALSE,35.618617,139.739742
3,居木神社,Irugi Shrine,"""日本武尊,高?神,大國主命,天兒家根命,倉稲魂命,手力雄命,淀姫命,菅原道真,大山咋命""","""Yamato Takeru, Takitsuhiko-no-kami, Okuninushi, Ame-no-Koyane-no-Mikoto, Uka-no-Mitama-no-Mikoto, Ame-no-Tajikarao, Yodohime-no-Mikoto, Sugawara no Michizane, Oyamakui-no-Kami""",神社,Shinto Shrine,五社明神,"""Five Kami Shrines""",,目黒川,Meguro River,創建不詳。江戸時代初期には目黒川のゆるぎ橋付近にあった,Origin unknown; was located near Yurugi Bridge on the Meguro River in early Edo period.,http://www.tokyo-jinjacho.or.jp/shinagawa/5658/,FALSE,35.620064,139.725022
4,目黒不動尊,Meguro Fudoson,"""不動明王""","""Fudo-Myou""",寺,Temple,"""天台宗,泉,江戸五色不動""","""Tendai Sect, Spring, Edo Five-Color-Fudou""",808,目黒川,Meguro River,円仁が比叡山の最澄のもとに赴く地で見た夢のお告げが創建の由来,Founded based on a vision seen by Ennin while journeying to Saich? on Mt. Hiei.,https://megurofudo.jp/,TRUE,35.628855,139.708017
5,大鳥神社,Otori Shrine,"""日本武尊,国常立尊,弟橘媛命""","""Yamato Takeru, Kunitsu-no-Tokotachi-no-Kami, Ototachibana-hime-no-Mikoto""",神社,Shinto Shrine,"""目黒,古社,目病""","""Meguro, Ancient Shrine, Eye Healing""",71,目黒川,Meguro River,日本武尊が部下の目の病を治癒を祈願し「めぐろ」の地名の由来になった神社,Established by Yamato Takeru praying for a subordinate's eye disease; origin of the name 'Meguro'.,https://www.ootorijinja.or.jp/,FALSE,35.631994,139.7082
6,中目黒八幡神社,Nakameguro Hachiman Shrine,"""誉田別命,天照皇大神""","""Hondawake, Amaterasu-Omikami""",神社,Shinto Shrine,"""源氏,八幡""","""Genji,Hachiman""",,目黒川,Meguro River,創建不詳。江戸幕府が八幡信仰を奨励した1660年代の創建ではないかという説,Exact founding year is unknown; believed to have been established in the 1660s when the Tokugawa shogunate promoted Hachiman worship.,http://www.tokyo-jinjacho.or.jp/meguro/5202/,FALSE,35.639581,139.70011
8,駒繋神社,Komatsunagi Shrine,"""大国主命""","""Okuninushi""",神社,Shinto Shrine,"""源氏,馬""","""Genji,Hourse""",,目黒川,Meguro River,創建不詳。1056年、前九年の役に出征する源頼義・義家父子が戦勝祈願したとされる,Exact founding year is unknown; said to have been a site where Minamoto no Yoriyoshi and his son Yoshiie prayed for victory before the Zenkunen War in 1056.,https://www.komatunagi.jp/,TRUE,35.638037,139.68009
9,上目黒氷川神社,Kamimeguro Hikawa Shrine,"""素盞嗚尊,天照大御神,菅原道真""","""Susanoo-no-Mikoto, Amaterasu-Omikami, Sugawara no Michizane""",神社,Shinto Shrine,"""目黒富士,名所江戸百景""","""Meguro Fuji Mountain,Edo Meisho Hyakkei""",1573,目黒川,Meguro River,旧家加藤氏が甲斐国・上野原の産土神をこの地にむかえ創建,"Established by the Kat? family, who enshrined their guardian deity from Uenohara in Kai Province at this location",http://kamimeguro-hikawajinja.jp/,TRUE,35.652815,139.688158
10,三宿神社,Mishuku Shrine,"""宇迦能御魂命,大物主神""","""Ukanomitama-no-Kami,Omononushi""",神社,Shinto Shrine,"""多聞寺,世田谷城""","""Tamon Temple,Setagaya Casstle""",,烏山川,Karasuyama River,創建不詳。北沢川・烏山川合流点。多聞寺が廃仏毀釈で廃寺となり建立,Exact founding year is unknown; built near the confluence of the Kitazawa and Karasuyama Rivers after Tamon-ji Temple was abolished during the anti-Buddhist movement.,https://www.setagayajin.tokyo/jinjyatop/tokyo/setagaya-ku/misyuku-jinjya/#google_vignette,TRUE,35.651421,139.673717
11,太子堂八幡神社,Taishido Hachiman Shrine,"""応神天皇""","""Emperor-Ojin""",神社,Shinto Shrine,"""円泉寺,源氏,八幡""","""Ensenn Temple,Genji,Hachiman""",,鳥山川,Karasuyama River,創建不詳。前九年の役に出征する源頼義・義家父子が戦勝祈願したとされる,Exact founding year is unknown; said to have been a site where Minamoto no Yoriyoshi and his son Yoshiie prayed for victory before the Zenkunen War.,https://www.taishido-hachiman.or.jp/,FALSE,35.64755,139.66537
